,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3687,3050600,WHS3_41,WORLDBANKINCOMEGROUP,WB_UMI,,YEAR,,,,1989,,,,,,,3620,3620.0,,,,2024-07-12T15:46:58.707+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
3688,3051176,WHS3_41,COUNTRY,CYP,EUR,YEAR,Europe,,,2013,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
3689,3051868,WHS3_41,REGION,EMR,,YEAR,,,,2015,,,,,,,43,43.0,,,,2024-07-12T15:46:58.707+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3690,3052594,WHS3_41,COUNTRY,TGO,AFR,YEAR,Africa,,,2012,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
3691,3054892,WHS3_41,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,,,1976,,,,,,,346,346.0,,,,2024-07-12T15:46:58.707+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
3692,3056431,WHS3_41,COUNTRY,KHM,WPR,YEAR,Western Pacific,,,2016,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3693,3056651,WHS3_41,COUNTRY,ZWE,AFR,YEAR,Africa,,,2020,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
3694,3057505,WHS3_41,COUNTRY,ATG,AMR,YEAR,Americas,,,1983,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
3695,3057667,WHS3_41,COUNTRY,MNE,EUR,YEAR,Europe,,,2006,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
3696,3058501,WHS3_41,COUNTRY,POL,EUR,YEAR,Europe,,,1999,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
3697,3059127,WHS3_41,COUNTRY,RUS,EUR,YEAR,Europe,,,1993,,,,,,,15 229,15229.0,,,,2024-07-12T15:46:58.707+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
3698,3059587,WHS3_41,COUNTRY,HUN,EUR,YEAR,Europe,,,2008,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
3699,3059803,WHS3_41,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,1985,,,,,,,3179,3179.0,,,,2024-07-12T15:46:58.707+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
3700,3059827,WHS3_41,COUNTRY,ECU,AMR,YEAR,Americas,,,1993,,,,,,,13,13.0,,,,2024-07-12T15:46:58.707+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
3701,3060805,WHS3_41,COUNTRY,MWI,AFR,YEAR,Africa,,,1983,,,,,,,31,31.0,,,,2024-07-12T15:46:58.707+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
3702,3062208,WHS3_41,COUNTRY,IRL,EUR,YEAR,Europe,,,2001,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
3703,3062212,WHS3_41,COUNTRY,RWA,AFR,YEAR,Africa,,,2004,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
3704,3063295,WHS3_41,COUNTRY,MHL,WPR,YEAR,Western Pacific,,,1986,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
3705,3065577,WHS3_41,COUNTRY,MNP,WPR,YEAR,Western Pacific,,,2010,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
3706,3066081,WHS3_41,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,,,1983,,,,,,,1169,1169.0,,,,2024-07-12T15:46:58.707+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
3707,3067098,WHS3_41,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,1995,,,,,,,282,282.0,,,,2024-07-12T15:46:58.707+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
3708,3067242,WHS3_41,COUNTRY,ARE,EMR,YEAR,Eastern Mediterranean,,,1983,,,,,,,2,2.0,,,,2024-07-12T15:46:58.707+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
3709,3067470,WHS3_41,COUNTRY,DEU,EUR,YEAR,Europe,,,1979,,,,,,,13,13.0,,,,2024-07-12T15:46:58.707+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
3710,3067692,WHS3_41,COUNTRY,VEN,AMR,YEAR,Americas,,,2001,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
3711,3067757,WHS3_41,COUNTRY,BTN,SEAR,YEAR,South-East Asia,,,2023,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
3712,3067914,WHS3_41,COUNTRY,BHS,AMR,YEAR,Americas,,,2003,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
3713,3068514,WHS3_41,COUNTRY,VCT,AMR,YEAR,Americas,,,1984,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
3714,3068781,WHS3_41,COUNTRY,MRT,AFR,YEAR,Africa,,,1979,,,,,,,4,4.0,,,,2024-07-12T15:46:58.707+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
3715,3069161,WHS3_41,COUNTRY,SAU,EMR,YEAR,Eastern Mediterranean,,,2011,,,,,,,3,3.0,,,,2024-07-12T15:46:58.707+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
3716,3069704,WHS3_41,COUNTRY,BRB,AMR,YEAR,Americas,,,2011,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
3717,3070016,WHS3_41,COUNTRY,BWA,AFR,YEAR,Africa,,,1995,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
3718,3070294,WHS3_41,COUNTRY,LKA,SEAR,YEAR,South-East Asia,,,1993,,,,,,,1,1.0,,,,2024-07-12T15:46:58.707+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
3719,3070948,WHS3_41,COUNTRY,GEO,EUR,YEAR,Europe,,,2018,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
3720,3070970,WHS3_41,COUNTRY,KIR,WPR,YEAR,Western Pacific,,,2010,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
