,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1991,6473667,MALARIA_CONF_CASES,COUNTRY,GUY,AMR,YEAR,Americas,,2007,,,,,,,,11 656,11656.0,,,,2023-05-10T14:48:10+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1992,6474797,MALARIA_CONF_CASES,COUNTRY,SLB,WPR,YEAR,Western Pacific,,2016,,,,,,,,54 432,54432.0,,,,2023-05-10T14:48:23+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1993,6480490,MALARIA_CONF_CASES,COUNTRY,MEX,AMR,YEAR,Americas,,2004,,,,,,,,3 406,3406.0,,,,2023-05-10T14:48:12+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1994,6483508,MALARIA_CONF_CASES,COUNTRY,CIV,AFR,YEAR,Africa,,2004,,,,,,,,293,293.0,,,,2023-05-10T14:47:55+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1995,6483633,MALARIA_CONF_CASES,REGION,EUR,,YEAR,,,2017,,,,,,,,231,231.0,,,,2023-05-10T14:48:02+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1996,6486270,MALARIA_CONF_CASES,COUNTRY,TGO,AFR,YEAR,Africa,,2000,,,,,,,,25 083,25083.0,,,,2023-05-10T14:48:20+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1997,6486602,MALARIA_CONF_CASES,COUNTRY,OMN,EMR,YEAR,Eastern Mediterranean,,2007,,,,,,,,705,705.0,,,,2023-05-10T14:48:05+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1998,6487352,MALARIA_CONF_CASES,COUNTRY,SUR,AMR,YEAR,Americas,,2019,,,,,,,,215,215.0,,,,2023-05-10T14:47:56+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1999,6487829,MALARIA_CONF_CASES,COUNTRY,LKA,SEAR,YEAR,South-East Asia,,2005,,,,,,,,1 640,1640.0,,,,2023-05-10T14:48:00+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
2000,6490235,MALARIA_CONF_CASES,COUNTRY,TZA,AFR,YEAR,Africa,,2021,,,,,,,,4 456 818,4456818.0,,,,2023-05-10T14:47:58+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
2001,6492938,MALARIA_CONF_CASES,COUNTRY,GEO,EUR,YEAR,Europe,,2001,,,,,,,,439,439.0,,,,2023-05-10T14:48:11+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
2002,6498851,MALARIA_CONF_CASES,COUNTRY,KEN,AFR,YEAR,Africa,,2011,,,,,,,,1 002 805,1002805.0,,,,2023-05-10T14:48:01+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2003,6504959,MALARIA_CONF_CASES,COUNTRY,GNQ,AFR,YEAR,Africa,,2010,,,,,,,,53 813,53813.0,,,,2023-05-10T14:48:20+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2004,6512103,MALARIA_CONF_CASES,REGION,AFR,,YEAR,,,2013,,,,,,,,46 466 541,46466541.0,,,,2023-05-10T14:48:01+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2005,6515166,MALARIA_CONF_CASES,COUNTRY,DZA,AFR,YEAR,Africa,,2014,,,,,,,,266,266.0,,,,2023-05-10T14:48:20+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2006,6521249,MALARIA_CONF_CASES,REGION,AMR,,YEAR,,,2019,,,,,,,,848 782,848782.0,,,,2023-05-10T14:47:55+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2007,6521799,MALARIA_CONF_CASES,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,,2002,,,,,,,,75 508,75508.0,,,,2023-05-10T14:48:17+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
2008,6523708,MALARIA_CONF_CASES,COUNTRY,ARM,EUR,YEAR,Europe,,2000,,,,,,,,226,226.0,,,,2023-05-10T14:48:13+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
2009,6524806,MALARIA_CONF_CASES,COUNTRY,TLS,SEAR,YEAR,South-East Asia,,2008,,,,,,,,51 260,51260.0,,,,2023-05-10T14:48:25+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2010,6534305,MALARIA_CONF_CASES,COUNTRY,BTN,SEAR,YEAR,South-East Asia,,2015,,,,,,,,104,104.0,,,,2023-05-10T14:48:17+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2011,6534596,MALARIA_CONF_CASES,COUNTRY,TZA,AFR,YEAR,Africa,,2020,,,,,,,,5 977 913,5977913.0,,,,2023-05-10T14:47:56+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
2012,6542621,MALARIA_CONF_CASES,COUNTRY,LKA,SEAR,YEAR,South-East Asia,,2018,,,,,,,,52,52.0,,,,2023-05-10T14:47:57+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2013,6545647,MALARIA_CONF_CASES,COUNTRY,MOZ,AFR,YEAR,Africa,,2012,,,,,,,,1 853 276,1853276.0,,,,2023-05-10T14:48:11+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2014,6551826,MALARIA_CONF_CASES,COUNTRY,COL,AMR,YEAR,Americas,,2017,,,,,,,,54 102,54102.0,,,,2023-05-10T14:48:17+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
2015,6552032,MALARIA_CONF_CASES,COUNTRY,BEN,AFR,YEAR,Africa,,2013,,,,,,,,1 090 602,1090602.0,,,,2023-05-10T14:48:14+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2016,6553155,MALARIA_CONF_CASES,REGION,AFR,,YEAR,,,2007,,,,,,,,9 224 013,9224013.0,,,,2023-05-10T14:48:02+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
2017,6559689,MALARIA_CONF_CASES,COUNTRY,IND,SEAR,YEAR,South-East Asia,,2000,,,,,,,,2 031 790,2031790.0,,,,2023-05-10T14:48:17+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
2018,6562279,MALARIA_CONF_CASES,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,2019,,,,,,,,17 225,17225.0,,,,2023-05-10T14:48:02+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2019,6573558,MALARIA_CONF_CASES,COUNTRY,ERI,AFR,YEAR,Africa,,2010,,,,,,,,35 982,35982.0,,,,2023-05-10T14:48:15+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2020,6574643,MALARIA_CONF_CASES,COUNTRY,SLB,WPR,YEAR,Western Pacific,,2009,,,,,,,,33 002,33002.0,,,,2023-05-10T14:48:24+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
2021,6574971,MALARIA_CONF_CASES,COUNTRY,PAN,AMR,YEAR,Americas,,2006,,,,,,,,1 663,1663.0,,,,2023-05-10T14:47:57+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2022,6577661,MALARIA_CONF_CASES,COUNTRY,PHL,WPR,YEAR,Western Pacific,,2004,,,,,,,,29 018,29018.0,,,,2023-05-10T14:48:15+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
